Datetime,Daymet-tmax:degC,Daymet-tmin:degC,Daymet-srad:W/m2,Daymet-vp:Pa,Daymet-swe:kg/m2,Daymet-prcp:mm,Daymet-dayl:s
1980-04-04,31.23,18.94,320.93,2187.6,0,4.55,44574.2
1980-04-05,27.51,19.36,323.59,2246.74,0,0,44671.1
1980-04-06,25.89,15.15,418.85,1720.74,0,0,44767.6
1980-04-07,27.48,17.92,284.19,2052.14,0,49.73,44863.8
1980-04-08,30.03,17.33,456.96,1977.65,0,0,44959.7
1980-04-09,30.26,19.44,408.24,2257.51,0,0,45055.3
1980-04-10,27.71,18.18,380.74,2086.8,0,0,45150.5
1980-04-11,29.44,12.9,534.61,1487.4,0,0,45245.3
1980-04-12,30.58,17.08,472.85,1946.28,0,0,45339.7
1980-04-13,30.62,18.69,432.52,2154.14,0,0,45433.7
1980-04-14,26.58,22.04,143.76,2649.29,0,8.58,45527.2
1980-04-15,24.03,15.46,365.6,1755.63,0,0,45620.2
1980-04-16,25.14,10.95,517.69,1307.91,0,0,45712.8
1980-04-17,25.74,11.43,517.47,1350.41,0,0,45804.8
1980-04-18,27.05,14.6,471.47,1661.06,0,0,45896.2
1980-04-19,26.54,17.29,285.51,1972.76,0,21.04,45987.1
1980-04-20,26.42,15.02,450.8,1706.5,0,0,46077.4
1980-04-21,27.2,13.98,494.84,1595.78,0,0,46167.1
1980-04-22,29.31,14.03,529.14,1600.38,0,0,46256.1
1980-04-23,29.87,13.82,539.82,1579.52,0,0,46344.5
1980-04-24,29.55,15.95,497.67,1812.09,0,0,46432.1
1980-04-25,30.3,15.05,524.72,1709.87,0,0,46519
1980-04-26,31.61,15.94,392.98,1810.16,0,17.51,46605.2
1980-04-27,28.73,19.27,384.95,2233.28,0,0,46690.6
1980-04-28,25.23,18.33,306.88,2105.95,0,0,46775.2
1980-04-29,26.72,11.92,534.17,1394.63,0,0,46858.9
1980-04-30,28.46,12.8,536.55,1466.27,0,0,46941.8
1980-05-01,25.96,14.81,440.97,1683.75,0,0,47023.8
1980-05-02,28.29,17.43,423.23,1990.04,0,0,47104.8
1980-05-03,30.01,16.4,486.3,1864.03,0,0,47184.9
1980-05-04,31.22,18.43,460.54,2118.76,0,0,47264
1980-05-05,30.68,16.82,485.18,1915.24,0,0,47342.1
1980-05-06,30.34,15.41,507.72,1738.95,0,0,47419.2
1980-05-07,31.62,16.38,504.9,1842.23,0,0,47495.2
1980-05-08,31.42,15.14,391.93,1719.84,0,2.66,47570
1980-05-09,29.13,17.75,315.63,2031.35,0,10.36,47643.8
1980-05-10,29.35,17.61,428.77,2013.28,0,0,47716.3
1980-05-11,29.82,17.41,447.63,1987.05,0,0,47787.7
1980-05-12,30.45,16.79,475.6,1910.85,0,0,47857.9
1980-05-13,31.6,16.69,495.37,1899,0,0,47926.8
1980-05-14,33.15,19.51,453.44,2267.66,0,0,47994.3
1980-05-15,33.63,20.82,320.61,2458.31,0,20.68,48060.6
1980-05-16,33.27,21.07,414.36,2496.85,0,0,48125.5
1980-05-17,31.63,21.6,271.45,2578.4,0,4.6,48189.1
1980-05-18,32.55,20.85,408.02,2463.18,0,0,48251.2
1980-05-19,32.81,21.35,398.13,2540.47,0,0,48311.8
1980-05-20,33.46,22.74,279.47,2765.13,0,7.75,48371
1980-05-21,31.69,21.31,280.47,2533.45,0,7.23,48428.7
1980-05-22,32.07,20.02,317.44,2340.71,0,14.15,48484.9
1980-05-23,31.78,19.78,319.57,2305.63,0,9.43,48539.4
1980-05-24,32.81,19.78,335.73,2306.03,0,8.74,48592.4
1980-05-25,30.34,21.06,265.44,2494.61,0,13.83,48643.8
1980-05-26,30.8,17.54,352.23,2003.61,0,8.99,48693.5
1980-05-27,30.17,19.04,414.4,2202.06,0,0,48741.5
1980-05-28,29.45,19.65,374.33,2286.91,0,0,48787.8
1980-05-29,29.52,19.35,389.14,2244.72,0,0,48832.4
1980-05-30,30.3,19.94,395.25,2328.11,0,0,48875.2
1980-05-31,30.51,21.06,365.19,2495.61,0,0,48916.3
1980-06-01,30.52,20.44,386.82,2401,0,0,48955.5
1980-06-02,31.66,20.78,407.11,2452.39,0,0,48992.9
1980-06-03,32.35,20.75,424.79,2448.42,0,0,49028.4
1980-06-04,34.08,21.15,450.02,2508.16,0,0,49062.1
1980-06-05,35.34,21.19,470.28,2515.65,0,0,49093.8
1980-06-06,31.99,21.79,389.45,2609.81,0,0,49123.7
1980-06-07,32.2,17.97,495.39,2059.08,0,0,49151.6
1980-06-08,34.46,19.41,496.57,2252.84,0,0,49177.5
1980-06-09,34.4,21.23,455.26,2521.19,0,0,49201.5
1980-06-10,33.59,20.64,341,2431.31,0,22.32,49223.5
1980-06-11,30.63,21.08,375.91,2498.36,0,0,49243.5
1980-06-12,31.87,21.22,305.53,2519.67,0,16.69,49261.4
1980-06-13,31.39,21.62,384.72,2582.64,0,0,49277.4
1980-06-14,31.24,19.82,436.99,2311.53,0,0,49291.3
1980-06-15,31.88,17.46,503.89,1993.6,0,0,49303.2
1980-06-16,32.57,19.3,473.07,2238.42,0,0,49313
1980-06-17,34.09,19.99,481.01,2335.63,0,0,49320.8
1980-06-18,34.41,20.25,478.74,2372.93,0,0,49326.5
1980-06-19,32.75,21.15,319.11,2508.76,0,10.83,49330.1
1980-06-20,33.55,21.1,331.49,2501.36,0,10.91,49331.7
1980-06-21,33.51,22.14,309.95,2665.5,0,6.22,49331.1
1980-06-22,34.62,22.21,325.62,2676.84,0,11.47,49328.6
1980-06-23,33.55,21.88,316.42,2624.29,0,12.42,49323.9
1980-06-24,34.27,21.7,329.66,2594.24,0,12.76,49317.2
1980-06-25,35.11,22.09,445.23,2657.96,0,0,49308.4
1980-06-26,35.16,21.49,458.78,2561.83,0,0,49297.6
1980-06-27,35.17,22.32,327.92,2695.06,0,4.85,49284.7
1980-06-28,35.13,21.82,447.08,2613.3,0,0,49269.8
1980-06-29,34.33,21.72,325.14,2597.99,0,9.33,49252.8
1980-06-30,31.37,21.8,270.63,2611.05,0,16.71,49233.8
1980-07-01,32.79,22.19,385.85,2672.97,0,0,49212.8
1980-07-02,31.48,22.47,256.61,2720.24,0,15.77,49189.9
1980-07-03,33.16,22.13,398.32,2663.23,0,0,49164.9
1980-07-04,33.21,22.62,386.19,2744.26,0,0,49138
1980-07-05,33.37,22.95,382.24,2800.03,0,0,49109.1
1980-07-06,34.98,22.69,424.62,2755.47,0,0,49078.3
1980-07-07,35,23.26,410.99,2852.24,0,0,49045.6
1980-07-08,34,22.64,409.25,2747.44,0,0,49011
1980-07-09,34.51,21.57,448.18,2574.13,0,0,48974.6
1980-07-10,35.06,21.98,447.85,2639.95,0,0,48936.3
1980-07-11,34.58,22.58,422.02,2737.73,0,0,48896.2
1980-07-12,35.41,23.27,419.29,2854.34,0,0,48854.2
1980-07-13,36.22,23.53,426.13,2900.18,0,0,48810.5
1980-07-14,35.6,23.86,303.59,2957.89,0,17.35,48765.1
1980-07-15,35.35,23.6,306.37,2911.5,0,23.94,48717.9
1980-07-16,33.86,20.9,337.79,2470.12,0,17.4,48669.1
1980-07-17,32.57,21.76,301.04,2604.63,0,15.1,48618.6
1980-07-18,32.43,21.47,306.62,2558.95,0,10.31,48566.4
1980-07-19,33.23,21.49,319.83,2562.22,0,13.37,48512.6
1980-07-20,31.82,21.78,385.69,2606.8,0,0,48457.2
1980-07-21,32.66,23.13,365.21,2829.84,0,0,48400.3
1980-07-22,31.72,22.75,265.28,2765.62,0,11.37,48341.9
1980-07-23,32.01,22.06,289.81,2652.6,0,14.54,48282
1980-07-24,32.7,21.98,305.79,2639.12,0,6.83,48220.6
1980-07-25,34.11,21.81,332.41,2611.78,0,19.55,48157.8
1980-07-26,34.47,21.31,462.18,2534.05,0,0,48093.5
1980-07-27,35.02,22.28,448.39,2687.7,0,0,48027.9
1980-07-28,34.47,22.57,431.45,2735.48,0,0,47961
1980-07-29,33.43,22.95,398.65,2800.02,0,0,47892.8
1980-07-30,34.18,22.45,428.44,2716.23,0,0,47823.2
1980-07-31,34.02,22.51,422.77,2725.51,0,0,47752.5
1980-08-01,34.46,21.67,451.01,2589.4,0,0,47680.5
1980-08-02,34.62,22.52,323.42,2727.55,0,5.73,47607.4
1980-08-03,34.68,22.01,333,2644.36,0,3.33,47533.1
1980-08-04,33.96,21.73,436.24,2599.87,0,0,47457.6
1980-08-05,33.67,22.84,299.69,2781.84,0,5.91,47381.1
1980-08-06,33.89,23.78,377.02,2943.67,0,0,47303.5
1980-08-07,33.72,24.89,336.72,3146.25,0,0,47224.9
1980-08-08,33.98,23.81,381.22,2948.99,0,0,47145.3
1980-08-09,33.51,22.42,310.03,2711.24,0,8.64,47064.8
1980-08-10,33.3,22.31,309.09,2693.64,0,16.48,46983.2
1980-08-11,33.02,22.69,296.23,2755.46,0,15.61,46900.8
1980-08-12,32.62,22.29,299.02,2689.83,0,24.65,46817.5
1980-08-13,29.72,22.34,234.94,2698.33,0,13.4,46733.3
1980-08-14,33.4,22.6,410.79,2741.01,0,0,46648.4
1980-08-15,33.3,23.5,382.41,2895.14,0,0,46562.6
1980-08-16,33.05,23.5,376.38,2895.03,0,0,46476.1
1980-08-17,34.61,22.33,443.66,2696.6,0,0,46388.8
1980-08-18,33.73,22.89,410.84,2789.02,0,0,46300.8
1980-08-19,33.04,23.1,290.6,2825.82,0,14.49,46212.1
1980-08-20,34.14,22.52,427.47,2728.39,0,0,46122.7
1980-08-21,33.61,23.12,298.04,2829.41,0,21.67,46032.8
1980-08-22,34.51,21.08,464.72,2497.67,0,0,45942.2
1980-08-23,32.94,21.8,312.45,2611.49,0,13.24,45851
1980-08-24,31.52,21.53,294.03,2568.08,0,23.61,45759.2
1980-08-25,32.29,20.8,431.69,2455.59,0,0,45667
1980-08-26,32.77,20.53,447.83,2414.29,0,0,45574.2
1980-08-27,34.17,21.72,442.83,2597.46,0,0,45480.9
1980-08-28,34.66,22.51,430.23,2726.44,0,0,45387.2
1980-08-29,33.43,22.47,406.25,2719.38,0,0,45293
1980-08-30,32.92,23.1,281.84,2825.84,0,7.17,45198.4
1980-08-31,32.6,21.73,307.36,2598.79,0,15.77,45103.4
1980-09-01,30.86,21.55,279.56,2571.91,0,17.38,45008
1980-09-02,30.32,20.33,299.34,2384.95,0,31.35,44912.2
1980-09-03,30.05,21.36,269.37,2540.84,0,10.17,44816.2
1980-09-04,31.83,21.51,300.75,2565.53,0,4.07,44719.8
